NAME,TYPE,MATERIAL,APERTYPE,L,AT_ENTRY,AT_CENTER,AT_EXIT,TILT,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K1S,K2S,K3S,K4S,K5S,K6S,K7S,K8S,K9S,K10S,K11S,K12S,B,E,E1,E2,HGAP,FINT,FINTX,APERTURE1,APERTURE2,APERTURE3,APERTURE4,ENTRY_X,ENTRY_Y,ENTRY_Z,CENTER_X,CENTER_Y,CENTER_Z,EXIT_X,EXIT_Y,EXIT_Z,CLASS,APERTURE,ANGLE,MATRIX,WITH_LOSSES,KICK,APERTURE_UP,APERTURE_DOWN,CHAMBER,CHAMBER_UP,CHAMBER_DOWN,n_particles
DRIFT_PMQ1,drift,G4_STAINLESS-STEEL,circular,0.09700000286102295 meter,0.0,0.048500001430511475,0.09700000286102295,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0485,0.0,0.0,0.097,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]]",False,,0.02975,0.02975,0,0,0,1000000
PMQ1,quadrupole,G4_Fe,circular,0.20600000023841858 meter,0.09700000286102295,0.20000000298023224,0.30300000309944153,0.0 radian,7.537189960479736 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,0.0,0.0,0.097000004,0.0,0.0,0.20000000399999998,0.0,0.0,0.303000004,Quadrupole,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,1000000
DRIFT_PMQ2,drift,G4_STAINLESS-STEEL,circular,0.03400000184774399 meter,0.3030000105500221,0.3200000114738941,0.3370000123977661,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,0.0,0.0,0.303000008,0.0,0.0,0.320000008,0.0,0.0,0.33700000799999996,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,1000000
PMQ2,quadrupole,G4_Fe,circular,0.20600000023841858 meter,0.3369999825954437,0.439999982714653,0.5429999828338623,0.0 radian,7.537189960479736 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,0.0,0.0,0.33700001199999996,0.0,0.0,0.440000012,0.0,0.0,0.5430000119999999,Quadrupole,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,999970
DRIFT_Q1C,drift,G4_STAINLESS-STEEL,circular,0.3815000057220459 meter,0.5429999828338623,0.7337499856948853,0.9244999885559082,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,0.0,0.0,0.5430000159999999,0.0,0.0,0.733750016,0.0,0.0,0.924500016,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,996830
Q1C,quadrupole,G4_Fe,circular,0.28999999165534973 meter,0.9244999587535858,1.0694999545812607,1.2144999504089355,0.0 radian,-8.08862590789795 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,0.0,0.0,0.92450002,0.0,0.0,1.06950002,0.0,0.0,1.21450002,Quadrupole,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,992120
DRIFT_SL1E,drift,G4_STAINLESS-STEEL,circular,0.125 meter,1.2144999504089355,1.2769999504089355,1.3394999504089355,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,0.0,0.0,1.214500024,0.0,0.0,1.277000024,0.0,0.0,1.339500024,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,967040
SL1E,rcol,G4_Ni,rectangular,0.05999999865889549 meter,1.3395000137388706,1.3695000130683184,1.3995000123977661,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.018403476909968054 meter,0.0275 meter,0.0,0.0,0.0,0.0,1.339500028,0.0,0.0,1.369500028,0.0,0.0,1.3995000279999998,RectangularCollimator,"[<Quantity(0.018403476909968054, 'meter')>, <Quantity(0.0275, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.0275,0.0275,0,0,0,617590
DRIFT_Q2C,drift,G4_STAINLESS-STEEL,circular,0.12349999696016312 meter,1.3995000049471855,1.461250003427267,1.5230000019073486,0.0 radian,0.0 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,0.0,0.0,1.399500032,0.0,0.0,1.461250032,0.0,0.0,1.5230000320000001,Drift,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,617590
Q2C,quadrupole,G4_Fe,circular,0.49000000953674316 meter,1.5230000019073486,1.7680000066757202,2.013000011444092,0.0 radian,6.739919185638428 / meter ** 2,0.0 / meter ** 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 / meter ** 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 tesla,0.0,0.0 radian,0.0 radian,0.0 meter,0.0,0.0,0.02975 meter,0.02975 meter,0.025,0.025,0.0,0.0,1.5230000360000002,0.0,0.0,1.768000036,0.0,0.0,2.013000036,Quadrupole,"[<Quantity(0.02975, 'meter')>, <Quantity(0.02975, 'meter')>]",0.0 radian,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",False,,0.02975,0.02975,0,0,0,617590
