PSTAR: Stopping Powers and Range Tables for Protons

POLYETHYLENE TEREPHTHALATE (MYLAR)                                      

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2            

1.000E-03 1.509E+02 3.190E+01 1.828E+02 6.920E-06 2.900E-06 0.4191 
1.500E-03 1.849E+02 2.614E+01 2.110E+02 9.443E-06 4.370E-06 0.4628 
2.000E-03 2.135E+02 2.241E+01 2.359E+02 1.168E-05 5.809E-06 0.4972 
2.500E-03 2.387E+02 1.975E+01 2.584E+02 1.371E-05 7.200E-06 0.5253 
3.000E-03 2.614E+02 1.773E+01 2.792E+02 1.557E-05 8.543E-06 0.5488 
4.000E-03 2.978E+02 1.486E+01 3.126E+02 1.894E-05 1.111E-05 0.5867 
5.000E-03 3.302E+02 1.287E+01 3.431E+02 2.199E-05 1.355E-05 0.6162 
6.000E-03 3.596E+02 1.141E+01 3.710E+02 2.479E-05 1.587E-05 0.6401 
7.000E-03 3.864E+02 1.028E+01 3.967E+02 2.740E-05 1.808E-05 0.6600 
8.000E-03 4.105E+02 9.372E+00 4.198E+02 2.985E-05 2.020E-05 0.6768 
9.000E-03 4.325E+02 8.630E+00 4.411E+02 3.217E-05 2.225E-05 0.6915 
1.000E-02 4.530E+02 8.008E+00 4.610E+02 3.439E-05 2.422E-05 0.7043 
1.250E-02 4.949E+02 6.816E+00 5.017E+02 3.958E-05 2.892E-05 0.7307 
1.500E-02 5.303E+02 5.959E+00 5.363E+02 4.439E-05 3.336E-05 0.7514 
1.750E-02 5.612E+02 5.310E+00 5.665E+02 4.892E-05 3.759E-05 0.7682 
2.000E-02 5.888E+02 4.799E+00 5.936E+02 5.323E-05 4.164E-05 0.7823 
2.250E-02 6.134E+02 4.386E+00 6.178E+02 5.736E-05 4.556E-05 0.7942 
2.500E-02 6.353E+02 4.044E+00 6.393E+02 6.134E-05 4.935E-05 0.8046 
2.750E-02 6.547E+02 3.756E+00 6.585E+02 6.519E-05 5.304E-05 0.8137 
3.000E-02 6.723E+02 3.509E+00 6.758E+02 6.893E-05 5.665E-05 0.8217 
3.500E-02 7.034E+02 3.108E+00 7.066E+02 7.617E-05 6.364E-05 0.8355 
4.000E-02 7.305E+02 2.796E+00 7.333E+02 8.311E-05 7.038E-05 0.8468 
4.500E-02 7.535E+02 2.545E+00 7.560E+02 8.982E-05 7.692E-05 0.8564 
5.000E-02 7.723E+02 2.338E+00 7.746E+02 9.635E-05 8.330E-05 0.8646 
5.500E-02 7.870E+02 2.165E+00 7.892E+02 1.027E-04 8.956E-05 0.8717 
6.000E-02 7.983E+02 2.017E+00 8.003E+02 1.090E-04 9.573E-05 0.8780 
6.500E-02 8.066E+02 1.890E+00 8.085E+02 1.152E-04 1.018E-04 0.8837 
7.000E-02 8.124E+02 1.779E+00 8.142E+02 1.214E-04 1.079E-04 0.8888 
7.500E-02 8.160E+02 1.681E+00 8.176E+02 1.275E-04 1.139E-04 0.8934 
8.000E-02 8.176E+02 1.594E+00 8.191E+02 1.336E-04 1.200E-04 0.8977 
8.500E-02 8.174E+02 1.516E+00 8.189E+02 1.397E-04 1.260E-04 0.9016 
9.000E-02 8.158E+02 1.446E+00 8.173E+02 1.459E-04 1.320E-04 0.9052 
9.500E-02 8.129E+02 1.383E+00 8.143E+02 1.520E-04 1.381E-04 0.9086 
1.000E-01 8.089E+02 1.326E+00 8.103E+02 1.581E-04 1.442E-04 0.9117 
1.250E-01 7.776E+02 1.101E+00 7.787E+02 1.896E-04 1.753E-04 0.9248 
1.500E-01 7.365E+02 9.443E-01 7.374E+02 2.225E-04 2.080E-04 0.9347 
1.750E-01 6.934E+02 8.291E-01 6.942E+02 2.575E-04 2.427E-04 0.9427 
2.000E-01 6.519E+02 7.404E-01 6.526E+02 2.946E-04 2.796E-04 0.9491 
2.250E-01 6.136E+02 6.697E-01 6.143E+02 3.341E-04 3.189E-04 0.9545 
2.500E-01 5.791E+02 6.121E-01 5.797E+02 3.760E-04 3.606E-04 0.9590 
2.750E-01 5.482E+02 5.640E-01 5.488E+02 4.204E-04 4.047E-04 0.9628 
3.000E-01 5.206E+02 5.231E-01 5.212E+02 4.671E-04 4.513E-04 0.9661 
3.500E-01 4.729E+02 4.576E-01 4.734E+02 5.679E-04 5.517E-04 0.9714 
4.000E-01 4.340E+02 4.074E-01 4.344E+02 6.783E-04 6.616E-04 0.9754 
4.500E-01 4.022E+02 3.676E-01 4.026E+02 7.980E-04 7.808E-04 0.9785 
5.000E-01 3.761E+02 3.352E-01 3.765E+02 9.265E-04 9.089E-04 0.9810 
