material,Z,A,rho
hydrogen, 1, 1, 0.0083748
beryllium, 4, 9,1.848
boroncarbide, 5.217, 11.0171, 2.52
polyethylene, 5.281, 10.43, 0.94
polystyrene, 5.613, 11.158, 1.06
graphite, 6, 12,1.7
diamond, 6, 12,3.52
lexan, 6.1, 12.15, 1.2
mylar, 6.456, 12.87, 1.4
air, 7.372754, 28.965,1.20479e-3
water, 7.42, 18.01528, 1
oxygen, 8, 16, 0.00133151
aluminum, 13, 27,2.6989
titanium, 22, 47.867, 4.54
copper, 29, 63.546,8.96
tin, 50, 118.71, 7.31
tantalum, 73, 180.94, 16.66
gold, 79, 196.97, 19.32
lead, 82, 207.2, 11.34
