PSTAR: Stopping Powers and Range Tables for Protons

AIR (dry, near sea level)

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2

1.000E-03 1.197E+02 2.163E+01 1.414E+02 9.857E-06 3.257E-06 0.3304
1.500E-03 1.467E+02 1.840E+01 1.651E+02 1.310E-05 4.925E-06 0.3760
2.000E-03 1.693E+02 1.614E+01 1.855E+02 1.595E-05 6.577E-06 0.4123
2.500E-03 1.893E+02 1.446E+01 2.038E+02 1.852E-05 8.189E-06 0.4421
3.000E-03 2.074E+02 1.314E+01 2.206E+02 2.088E-05 9.759E-06 0.4674
4.000E-03 2.395E+02 1.120E+01 2.507E+02 2.512E-05 1.277E-05 0.5084
5.000E-03 2.678E+02 9.825E+00 2.776E+02 2.891E-05 1.563E-05 0.5406
6.000E-03 2.933E+02 8.786E+00 3.021E+02 3.236E-05 1.834E-05 0.5669
7.000E-03 3.168E+02 7.970E+00 3.248E+02 3.555E-05 2.094E-05 0.5889
8.000E-03 3.387E+02 7.310E+00 3.460E+02 3.853E-05 2.342E-05 0.6078
9.000E-03 3.592E+02 6.762E+00 3.660E+02 4.134E-05 2.580E-05 0.6242
1.000E-02 3.787E+02 6.300E+00 3.850E+02 4.400E-05 2.810E-05 0.6387
1.250E-02 4.170E+02 5.404E+00 4.224E+02 5.019E-05 3.356E-05 0.6686
1.500E-02 4.504E+02 4.751E+00 4.552E+02 5.588E-05 3.869E-05 0.6923
1.750E-02 4.801E+02 4.253E+00 4.843E+02 6.120E-05 4.356E-05 0.7118
2.000E-02 5.067E+02 3.858E+00 5.106E+02 6.623E-05 4.822E-05 0.7281
2.250E-02 5.307E+02 3.536E+00 5.343E+02 7.101E-05 5.269E-05 0.7420
2.500E-02 5.526E+02 3.269E+00 5.558E+02 7.560E-05 5.701E-05 0.7542
2.750E-02 5.724E+02 3.042E+00 5.755E+02 8.002E-05 6.120E-05 0.7648
3.000E-02 5.905E+02 2.848E+00 5.934E+02 8.430E-05 6.527E-05 0.7743
3.500E-02 6.221E+02 2.531E+00 6.246E+02 9.250E-05 7.313E-05 0.7906
4.000E-02 6.483E+02 2.282E+00 6.506E+02 1.003E-04 8.069E-05 0.8041
4.500E-02 6.700E+02 2.082E+00 6.721E+02 1.079E-04 8.800E-05 0.8156
5.000E-02 6.877E+02 1.917E+00 6.897E+02 1.152E-04 9.513E-05 0.8256
5.500E-02 7.020E+02 1.777E+00 7.038E+02 1.224E-04 1.021E-04 0.8343
6.000E-02 7.132E+02 1.659E+00 7.149E+02 1.295E-04 1.090E-04 0.8420
6.500E-02 7.217E+02 1.556E+00 7.233E+02 1.364E-04 1.158E-04 0.8490
7.000E-02 7.278E+02 1.466E+00 7.293E+02 1.433E-04 1.226E-04 0.8553
7.500E-02 7.319E+02 1.387E+00 7.333E+02 1.501E-04 1.293E-04 0.8611
8.000E-02 7.341E+02 1.316E+00 7.355E+02 1.569E-04 1.360E-04 0.8664
8.500E-02 7.348E+02 1.253E+00 7.360E+02 1.637E-04 1.426E-04 0.8712
9.000E-02 7.340E+02 1.196E+00 7.352E+02 1.705E-04 1.493E-04 0.8758
9.500E-02 7.320E+02 1.145E+00 7.332E+02 1.773E-04 1.561E-04 0.8800
1.000E-01 7.290E+02 1.098E+00 7.301E+02 1.842E-04 1.628E-04 0.8839
1.250E-01 7.029E+02 9.142E-01 7.038E+02 2.190E-04 1.972E-04 0.9005
1.500E-01 6.672E+02 7.861E-01 6.680E+02 2.554E-04 2.333E-04 0.9133
1.750E-01 6.291E+02 6.914E-01 6.298E+02 2.940E-04 2.715E-04 0.9236
2.000E-01 5.922E+02 6.183E-01 5.928E+02 3.349E-04 3.121E-04 0.9320
2.250E-01 5.583E+02 5.600E-01 5.589E+02 3.783E-04 3.553E-04 0.9390
2.500E-01 5.278E+02 5.124E-01 5.284E+02 4.244E-04 4.010E-04 0.9450
2.750E-01 5.006E+02 4.727E-01 5.011E+02 4.730E-04 4.493E-04 0.9500
3.000E-01 4.763E+02 4.390E-01 4.767E+02 5.241E-04 5.002E-04 0.9544
3.500E-01 4.349E+02 3.850E-01 4.353E+02 6.340E-04 6.095E-04 0.9614
4.000E-01 4.012E+02 3.435E-01 4.015E+02 7.538E-04 7.287E-04 0.9668
4.500E-01 3.733E+02 3.105E-01 3.736E+02 8.830E-04 8.573E-04 0.9710
5.000E-01 3.498E+02 2.836E-01 3.501E+02 1.021E-03 9.951E-04 0.9743
5.500E-01 3.297E+02 2.612E-01 3.300E+02 1.169E-03 1.142E-03 0.9770
