PSTAR: Stopping Powers and Range Tables for Protons

CARBON (Graphite, density 1.7 g/cm3)

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2

1.000E-03 1.426E+02 2.514E+01 1.677E+02 8.186E-06 3.051E-06 0.3727
1.500E-03 1.753E+02 2.106E+01 1.963E+02 1.092E-05 4.596E-06 0.4211
2.000E-03 2.031E+02 1.829E+01 2.214E+02 1.331E-05 6.107E-06 0.4588
2.500E-03 2.280E+02 1.625E+01 2.443E+02 1.546E-05 7.564E-06 0.4893
3.000E-03 2.505E+02 1.469E+01 2.652E+02 1.742E-05 8.966E-06 0.5147
4.000E-03 2.834E+02 1.241E+01 2.958E+02 2.098E-05 1.166E-05 0.5557
5.000E-03 3.133E+02 1.081E+01 3.241E+02 2.421E-05 1.423E-05 0.5877
6.000E-03 3.404E+02 9.618E+00 3.500E+02 2.718E-05 1.667E-05 0.6136
7.000E-03 3.651E+02 8.690E+00 3.738E+02 2.994E-05 1.901E-05 0.6351
8.000E-03 3.867E+02 7.943E+00 3.946E+02 3.254E-05 2.126E-05 0.6534
9.000E-03 4.059E+02 7.328E+00 4.132E+02 3.502E-05 2.343E-05 0.6693
1.000E-02 4.235E+02 6.810E+00 4.303E+02 3.739E-05 2.554E-05 0.6832
1.250E-02 4.620E+02 5.814E+00 4.678E+02 4.295E-05 3.057E-05 0.7118
1.500E-02 4.940E+02 5.094E+00 4.991E+02 4.812E-05 3.533E-05 0.7343
1.750E-02 5.219E+02 4.547E+00 5.264E+02 5.299E-05 3.987E-05 0.7525
2.000E-02 5.469E+02 4.115E+00 5.510E+02 5.763E-05 4.424E-05 0.7677
2.250E-02 5.693E+02 3.765E+00 5.731E+02 6.208E-05 4.846E-05 0.7806
2.500E-02 5.892E+02 3.475E+00 5.927E+02 6.637E-05 5.254E-05 0.7917
2.750E-02 6.069E+02 3.229E+00 6.101E+02 7.052E-05 5.652E-05 0.8015
3.000E-02 6.229E+02 3.019E+00 6.259E+02 7.457E-05 6.041E-05 0.8102
3.500E-02 6.524E+02 2.678E+00 6.551E+02 8.237E-05 6.795E-05 0.8250
4.000E-02 6.799E+02 2.411E+00 6.823E+02 8.985E-05 7.521E-05 0.8371
4.500E-02 7.045E+02 2.196E+00 7.067E+02 9.705E-05 8.222E-05 0.8472
5.000E-02 7.253E+02 2.019E+00 7.274E+02 1.040E-04 8.903E-05 0.8559
5.500E-02 7.422E+02 1.870E+00 7.441E+02 1.108E-04 9.568E-05 0.8635
6.000E-02 7.556E+02 1.744E+00 7.574E+02 1.175E-04 1.022E-04 0.8702
6.500E-02 7.661E+02 1.634E+00 7.677E+02 1.240E-04 1.087E-04 0.8761
7.000E-02 7.740E+02 1.539E+00 7.755E+02 1.305E-04 1.150E-04 0.8815
7.500E-02 7.796E+02 1.455E+00 7.810E+02 1.369E-04 1.214E-04 0.8864
8.000E-02 7.831E+02 1.380E+00 7.845E+02 1.433E-04 1.277E-04 0.8908
8.500E-02 7.847E+02 1.313E+00 7.861E+02 1.497E-04 1.339E-04 0.8949
9.000E-02 7.848E+02 1.253E+00 7.860E+02 1.560E-04 1.402E-04 0.8987
9.500E-02 7.834E+02 1.199E+00 7.846E+02 1.624E-04 1.465E-04 0.9022
1.000E-01 7.807E+02 1.149E+00 7.819E+02 1.688E-04 1.528E-04 0.9055
1.250E-01 7.538E+02 9.548E-01 7.548E+02 2.013E-04 1.850E-04 0.9192
1.500E-01 7.145E+02 8.200E-01 7.153E+02 2.353E-04 2.187E-04 0.9298
1.750E-01 6.714E+02 7.204E-01 6.721E+02 2.713E-04 2.545E-04 0.9382
2.000E-01 6.291E+02 6.436E-01 6.297E+02 3.097E-04 2.927E-04 0.9451
2.250E-01 5.902E+02 5.825E-01 5.908E+02 3.507E-04 3.335E-04 0.9509
2.500E-01 5.556E+02 5.326E-01 5.561E+02 3.944E-04 3.769E-04 0.9558
2.750E-01 5.249E+02 4.911E-01 5.254E+02 4.406E-04 4.230E-04 0.9599
3.000E-01 4.977E+02 4.559E-01 4.982E+02 4.895E-04 4.717E-04 0.9635
3.500E-01 4.539E+02 3.995E-01 4.543E+02 5.948E-04 5.765E-04 0.9692
4.000E-01 4.193E+02 3.561E-01 4.196E+02 7.095E-04 6.907E-04 0.9736
4.500E-01 3.903E+02 3.217E-01 3.906E+02 8.330E-04 8.139E-04 0.9770
5.000E-01 3.651E+02 2.937E-01 3.654E+02 9.655E-04 9.458E-04 0.9797
5.500E-01 3.430E+02 2.704E-01 3.433E+02 1.107E-03 1.087E-03 0.9818
