PSTAR: Stopping Powers and Range Tables for Protons

POLYCARBONATE (MAKROLON, LEXAN)

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2

1.000E-03 1.648E+02 3.535E+01 2.001E+02 6.229E-06 2.776E-06 0.4456
1.500E-03 2.018E+02 2.874E+01 2.306E+02 8.537E-06 4.175E-06 0.4890
2.000E-03 2.330E+02 2.451E+01 2.576E+02 1.059E-05 5.538E-06 0.5231
2.500E-03 2.605E+02 2.153E+01 2.821E+02 1.244E-05 6.850E-06 0.5507
3.000E-03 2.854E+02 1.928E+01 3.047E+02 1.414E-05 8.114E-06 0.5737
4.000E-03 3.246E+02 1.608E+01 3.407E+02 1.724E-05 1.053E-05 0.6105
5.000E-03 3.597E+02 1.389E+01 3.735E+02 2.004E-05 1.281E-05 0.6392
6.000E-03 3.914E+02 1.229E+01 4.036E+02 2.261E-05 1.498E-05 0.6622
7.000E-03 4.203E+02 1.105E+01 4.314E+02 2.501E-05 1.704E-05 0.6813
8.000E-03 4.462E+02 1.006E+01 4.562E+02 2.726E-05 1.902E-05 0.6975
9.000E-03 4.697E+02 9.254E+00 4.790E+02 2.940E-05 2.092E-05 0.7115
1.000E-02 4.917E+02 8.578E+00 5.002E+02 3.144E-05 2.276E-05 0.7238
1.250E-02 5.365E+02 7.286E+00 5.438E+02 3.623E-05 2.713E-05 0.7489
1.500E-02 5.743E+02 6.361E+00 5.807E+02 4.067E-05 3.126E-05 0.7686
1.750E-02 6.071E+02 5.661E+00 6.127E+02 4.486E-05 3.520E-05 0.7846
2.000E-02 6.362E+02 5.112E+00 6.414E+02 4.885E-05 3.897E-05 0.7979
2.250E-02 6.622E+02 4.668E+00 6.668E+02 5.267E-05 4.262E-05 0.8092
2.500E-02 6.851E+02 4.301E+00 6.894E+02 5.635E-05 4.615E-05 0.8189
2.750E-02 7.054E+02 3.992E+00 7.094E+02 5.993E-05 4.959E-05 0.8275
3.000E-02 7.236E+02 3.728E+00 7.274E+02 6.341E-05 5.295E-05 0.8351
3.500E-02 7.559E+02 3.299E+00 7.592E+02 7.013E-05 5.947E-05 0.8480
4.000E-02 7.839E+02 2.965E+00 7.869E+02 7.660E-05 6.577E-05 0.8586
4.500E-02 8.077E+02 2.697E+00 8.104E+02 8.285E-05 7.188E-05 0.8676
5.000E-02 8.269E+02 2.477E+00 8.294E+02 8.895E-05 7.785E-05 0.8753
5.500E-02 8.417E+02 2.293E+00 8.440E+02 9.492E-05 8.372E-05 0.8820
6.000E-02 8.528E+02 2.135E+00 8.550E+02 1.008E-04 8.950E-05 0.8879
6.500E-02 8.608E+02 2.000E+00 8.628E+02 1.066E-04 9.524E-05 0.8932
7.000E-02 8.660E+02 1.882E+00 8.679E+02 1.124E-04 1.009E-04 0.8979
7.500E-02 8.688E+02 1.778E+00 8.706E+02 1.182E-04 1.066E-04 0.9022
8.000E-02 8.696E+02 1.686E+00 8.713E+02 1.239E-04 1.123E-04 0.9062
8.500E-02 8.686E+02 1.603E+00 8.702E+02 1.296E-04 1.180E-04 0.9099
9.000E-02 8.660E+02 1.529E+00 8.675E+02 1.354E-04 1.236E-04 0.9132
9.500E-02 8.621E+02 1.462E+00 8.636E+02 1.412E-04 1.294E-04 0.9164
1.000E-01 8.571E+02 1.400E+00 8.585E+02 1.470E-04 1.351E-04 0.9193
1.250E-01 8.205E+02 1.162E+00 8.216E+02 1.767E-04 1.646E-04 0.9314
1.500E-01 7.745E+02 9.963E-01 7.755E+02 2.080E-04 1.957E-04 0.9407
1.750E-01 7.272E+02 8.743E-01 7.281E+02 2.413E-04 2.287E-04 0.9480
2.000E-01 6.822E+02 7.804E-01 6.830E+02 2.767E-04 2.640E-04 0.9540
2.250E-01 6.411E+02 7.057E-01 6.418E+02 3.145E-04 3.016E-04 0.9589
2.500E-01 6.041E+02 6.448E-01 6.048E+02 3.546E-04 3.415E-04 0.9630
2.750E-01 5.712E+02 5.939E-01 5.718E+02 3.972E-04 3.839E-04 0.9665
3.000E-01 5.420E+02 5.506E-01 5.425E+02 4.421E-04 4.286E-04 0.9695
3.500E-01 4.923E+02 4.813E-01 4.928E+02 5.389E-04 5.251E-04 0.9743
4.000E-01 4.521E+02 4.283E-01 4.525E+02 6.449E-04 6.307E-04 0.9779
4.500E-01 4.191E+02 3.862E-01 4.195E+02 7.598E-04 7.452E-04 0.9808
5.000E-01 3.918E+02 3.520E-01 3.922E+02 8.832E-04 8.682E-04 0.9830
5.500E-01 3.686E+02 3.237E-01 3.690E+02 1.015E-03 9.993E-04 0.9848
