PSTAR: Stopping Powers and Range Tables for Protons

WATER, LIQUID

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2

1.000E-03 1.337E+02 4.315E+01 1.769E+02 6.319E-06 2.878E-06 0.4555
1.500E-03 1.638E+02 3.460E+01 1.984E+02 8.969E-06 4.400E-06 0.4906
2.000E-03 1.891E+02 2.927E+01 2.184E+02 1.137E-05 5.909E-06 0.5197
2.500E-03 2.114E+02 2.557E+01 2.370E+02 1.357E-05 7.380E-06 0.5440
3.000E-03 2.316E+02 2.281E+01 2.544E+02 1.560E-05 8.811E-06 0.5647
4.000E-03 2.675E+02 1.894E+01 2.864E+02 1.930E-05 1.155E-05 0.5986
5.000E-03 2.990E+02 1.631E+01 3.153E+02 2.262E-05 1.415E-05 0.6254
6.000E-03 3.276E+02 1.439E+01 3.420E+02 2.567E-05 1.661E-05 0.6473
7.000E-03 3.538E+02 1.292E+01 3.667E+02 2.849E-05 1.896E-05 0.6656
8.000E-03 3.782E+02 1.175E+01 3.900E+02 3.113E-05 2.121E-05 0.6813
9.000E-03 4.012E+02 1.080E+01 4.120E+02 3.363E-05 2.337E-05 0.6950
1.000E-02 4.229E+02 1.000E+01 4.329E+02 3.599E-05 2.545E-05 0.7070
1.250E-02 4.660E+02 8.485E+00 4.745E+02 4.150E-05 3.037E-05 0.7318
1.500E-02 5.036E+02 7.400E+00 5.110E+02 4.657E-05 3.499E-05 0.7514
1.750E-02 5.372E+02 6.581E+00 5.437E+02 5.131E-05 3.938E-05 0.7674
2.000E-02 5.673E+02 5.939E+00 5.733E+02 5.578E-05 4.356E-05 0.7808
2.250E-02 5.946E+02 5.421E+00 6.001E+02 6.005E-05 4.757E-05 0.7923
2.500E-02 6.195E+02 4.993E+00 6.245E+02 6.413E-05 5.144E-05 0.8022
2.750E-02 6.421E+02 4.633E+00 6.467E+02 6.806E-05 5.519E-05 0.8109
3.000E-02 6.628E+02 4.325E+00 6.671E+02 7.187E-05 5.883E-05 0.8187
3.500E-02 6.989E+02 3.826E+00 7.028E+02 7.916E-05 6.585E-05 0.8319
4.000E-02 7.290E+02 3.437E+00 7.324E+02 8.613E-05 7.259E-05 0.8429
4.500E-02 7.538E+02 3.126E+00 7.569E+02 9.284E-05 7.911E-05 0.8522
5.000E-02 7.740E+02 2.870E+00 7.768E+02 9.935E-05 8.547E-05 0.8602
5.500E-02 7.901E+02 2.655E+00 7.927E+02 1.057E-04 9.169E-05 0.8673
6.000E-02 8.026E+02 2.473E+00 8.050E+02 1.120E-04 9.782E-05 0.8735
6.500E-02 8.119E+02 2.316E+00 8.142E+02 1.182E-04 1.039E-04 0.8791
7.000E-02 8.183E+02 2.178E+00 8.205E+02 1.243E-04 1.099E-04 0.8842
7.500E-02 8.223E+02 2.058E+00 8.243E+02 1.303E-04 1.159E-04 0.8889
8.000E-02 8.241E+02 1.951E+00 8.260E+02 1.364E-04 1.218E-04 0.8931
8.500E-02 8.239E+02 1.855E+00 8.258E+02 1.425E-04 1.278E-04 0.8971
9.000E-02 8.222E+02 1.769E+00 8.239E+02 1.485E-04 1.338E-04 0.9007
9.500E-02 8.190E+02 1.691E+00 8.206E+02 1.546E-04 1.398E-04 0.9041
1.000E-01 8.145E+02 1.620E+00 8.161E+02 1.607E-04 1.458E-04 0.9073
1.250E-01 7.801E+02 1.343E+00 7.814E+02 1.920E-04 1.767E-04 0.9207
1.500E-01 7.360E+02 1.152E+00 7.371E+02 2.249E-04 2.094E-04 0.9310
1.750E-01 6.959E+02 1.010E+00 6.969E+02 2.598E-04 2.440E-04 0.9393
2.000E-01 6.604E+02 9.016E-01 6.613E+02 2.966E-04 2.806E-04 0.9460
2.250E-01 6.286E+02 8.152E-01 6.294E+02 3.354E-04 3.191E-04 0.9515
2.500E-01 5.999E+02 7.447E-01 6.006E+02 3.761E-04 3.596E-04 0.9562
2.750E-01 5.737E+02 6.855E-01 5.744E+02 4.186E-04 4.019E-04 0.9601
3.000E-01 5.497E+02 6.351E-01 5.504E+02 4.631E-04 4.462E-04 0.9635
3.500E-01 5.075E+02 5.545E-01 5.080E+02 5.577E-04 5.404E-04 0.9689
4.000E-01 4.714E+02 4.928E-01 4.719E+02 6.599E-04 6.422E-04 0.9731
4.500E-01 4.401E+02 4.439E-01 4.406E+02 7.697E-04 7.515E-04 0.9764
5.000E-01 4.128E+02 4.043E-01 4.132E+02 8.869E-04 8.683E-04 0.9790
5.500E-01 3.888E+02 3.715E-01 3.891E+02 1.012E-03 9.926E-04 0.9811
