 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> ao�t 08, 2018 
 ==================================================================
 Disk File Name = SRIM Outputs\Hydrogen in  B- C.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.5200E+00 g/cm3 = 1.3732E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    080.00    078.26   
      C      6    020.00    021.74   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.222E-01  5.569E-03    1111 A       273 A       289 A   
  11.00 keV   4.401E-01  5.213E-03    1195 A       280 A       300 A   
  12.00 keV   4.572E-01  4.905E-03    1275 A       287 A       311 A   
  13.00 keV   4.736E-01  4.636E-03    1354 A       292 A       320 A   
  14.00 keV   4.894E-01  4.397E-03    1430 A       298 A       329 A   
  15.00 keV   5.045E-01  4.185E-03    1505 A       302 A       337 A   
  16.00 keV   5.189E-01  3.994E-03    1578 A       307 A       345 A   
  17.00 keV   5.328E-01  3.822E-03    1648 A       311 A       353 A   
  18.00 keV   5.461E-01  3.666E-03    1718 A       315 A       359 A   
  20.00 keV   5.709E-01  3.392E-03    1853 A       322 A       372 A   
  22.50 keV   5.987E-01  3.108E-03    2014 A       330 A       387 A   
  25.00 keV   6.234E-01  2.872E-03    2170 A       337 A       400 A   
  27.50 keV   6.450E-01  2.673E-03    2321 A       343 A       411 A   
  30.00 keV   6.639E-01  2.502E-03    2467 A       348 A       422 A   
  32.50 keV   6.803E-01  2.353E-03    2610 A       353 A       432 A   
  35.00 keV   6.945E-01  2.223E-03    2751 A       358 A       442 A   
  37.50 keV   7.067E-01  2.107E-03    2888 A       362 A       450 A   
  40.00 keV   7.172E-01  2.004E-03    3024 A       366 A       459 A   
  45.00 keV   7.334E-01  1.828E-03    3292 A       375 A       474 A   
