 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> aout 08, 2018
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Diamond.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.5200E+00 g/cm3 = 1.7648E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.133E-01  5.977E-03     789 A       210 A       218 A
  11.00 keV   4.309E-01  5.602E-03     849 A       215 A       226 A
  12.00 keV   4.474E-01  5.277E-03     907 A       221 A       234 A
  13.00 keV   4.628E-01  4.992E-03     964 A       225 A       242 A
  14.00 keV   4.774E-01  4.739E-03    1019 A       229 A       249 A
  15.00 keV   4.910E-01  4.514E-03    1073 A       233 A       256 A
  16.00 keV   5.039E-01  4.311E-03    1126 A       237 A       262 A
  17.00 keV   5.160E-01  4.128E-03    1178 A       240 A       268 A
  18.00 keV   5.275E-01  3.962E-03    1229 A       244 A       273 A
  20.00 keV   5.487E-01  3.670E-03    1328 A       250 A       284 A
  22.50 keV   5.721E-01  3.366E-03    1448 A       256 A       295 A
  25.00 keV   5.928E-01  3.114E-03    1564 A       262 A       306 A
  27.50 keV   6.110E-01  2.900E-03    1677 A       267 A       316 A
  30.00 keV   6.273E-01  2.716E-03    1787 A       272 A       325 A
  32.50 keV   6.419E-01  2.557E-03    1895 A       276 A       333 A
  35.00 keV   6.549E-01  2.416E-03    2001 A       280 A       341 A
  37.50 keV   6.667E-01  2.292E-03    2105 A       284 A       349 A
  40.00 keV   6.773E-01  2.181E-03    2208 A       288 A       356 A
  45.00 keV   6.955E-01  1.991E-03    2409 A       295 A       369 A
  50.00 keV   7.103E-01  1.835E-03    2606 A       301 A       381 A
