 ==================================================================
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> février 07, 2022 
 ==================================================================
 Disk File Name = SRIM Outputs\kapton
 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.4200E+00 g/cm3 = 8.7227E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 
   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.186E-01  6.586E-03    1922 A       512 A       531 A   
  11.00 keV   4.369E-01  6.169E-03    2069 A       526 A       553 A   
  12.00 keV   4.541E-01  5.807E-03    2211 A       539 A       573 A   
  13.00 keV   4.703E-01  5.491E-03    2349 A       551 A       591 A   
  14.00 keV   4.856E-01  5.210E-03    2484 A       562 A       609 A   
  15.00 keV   5.000E-01  4.961E-03    2615 A       572 A       625 A   
  16.00 keV   5.137E-01  4.736E-03    2744 A       581 A       640 A   
  17.00 keV   5.267E-01  4.534E-03    2870 A       589 A       655 A   
  18.00 keV   5.391E-01  4.350E-03    2993 A       597 A       669 A   
  20.00 keV   5.620E-01  4.027E-03    3233 A       612 A       694 A   
  22.50 keV   5.876E-01  3.692E-03    3522 A       628 A       723 A   
  25.00 keV   6.104E-01  3.413E-03    3802 A       642 A       749 A   
  27.50 keV   6.308E-01  3.177E-03    4073 A       655 A       773 A   
  30.00 keV   6.490E-01  2.975E-03    4337 A       667 A       795 A   
  32.50 keV   6.654E-01  2.799E-03    4594 A       677 A       815 A   
  35.00 keV   6.801E-01  2.645E-03    4847 A       687 A       834 A   
  37.50 keV   6.934E-01  2.509E-03    5095 A       696 A       852 A   
  40.00 keV   7.053E-01  2.387E-03    5339 A       705 A       869 A   
