 ==================================================================
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> février 07, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lithium

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  5.3400E-01 g/cm3 = 4.6330E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.875E-01  5.551E-03    4363 A       759 A       867 A   
  11.00 keV   6.193E-01  5.176E-03    4657 A       774 A       894 A   
  12.00 keV   6.493E-01  4.852E-03    4939 A       787 A       919 A   
  13.00 keV   6.774E-01  4.571E-03    5209 A       798 A       941 A   
  14.00 keV   7.036E-01  4.324E-03    5470 A       809 A       961 A   
  15.00 keV   7.279E-01  4.104E-03    5723 A       818 A       980 A   
  16.00 keV   7.504E-01  3.908E-03    5968 A       826 A       997 A   
  17.00 keV   7.711E-01  3.732E-03    6206 A       834 A      1013 A   
  18.00 keV   7.902E-01  3.572E-03    6439 A       842 A      1028 A   
  20.00 keV   8.237E-01  3.294E-03    6891 A       856 A      1056 A   
  22.50 keV   8.579E-01  3.007E-03    7435 A       872 A      1086 A   
  25.00 keV   8.846E-01  2.769E-03    7961 A       886 A      1114 A   
  27.50 keV   9.051E-01  2.570E-03    8475 A       899 A      1139 A   
  30.00 keV   9.205E-01  2.399E-03    8979 A       911 A      1162 A   
  32.50 keV   9.315E-01  2.252E-03    9477 A       922 A      1184 A   
  35.00 keV   9.390E-01  2.123E-03    9971 A       932 A      1204 A   
  37.50 keV   9.436E-01  2.009E-03    1.05 um      942 A      1223 A   
  40.00 keV   9.458E-01  1.908E-03    1.10 um      951 A      1242 A   
  45.00 keV   9.445E-01  1.735E-03    1.19 um      973 A      1277 A   
