 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> ao�t 09, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  Mylar .txt
 Ion = Hydrogen [1] , Mass = 1.008 amu
 Target Density =  1.4000E+00 g/cm3 = 9.6517E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.292E-01  6.983E-03    1906 A       502 A       522 A   
  11.00 keV   4.481E-01  6.537E-03    2051 A       516 A       543 A   
  12.00 keV   4.658E-01  6.152E-03    2192 A       529 A       563 A   
  13.00 keV   4.825E-01  5.814E-03    2329 A       540 A       581 A   
  14.00 keV   4.984E-01  5.516E-03    2462 A       551 A       598 A   
  15.00 keV   5.133E-01  5.250E-03    2592 A       560 A       614 A   
  16.00 keV   5.276E-01  5.011E-03    2719 A       569 A       629 A   
  17.00 keV   5.411E-01  4.795E-03    2843 A       578 A       644 A   
  18.00 keV   5.539E-01  4.600E-03    2965 A       585 A       657 A   
  20.00 keV   5.777E-01  4.257E-03    3202 A       600 A       682 A   
  22.50 keV   6.045E-01  3.901E-03    3488 A       616 A       710 A   
  25.00 keV   6.283E-01  3.605E-03    3763 A       630 A       736 A   
  27.50 keV   6.496E-01  3.355E-03    4030 A       643 A       759 A   
  30.00 keV   6.687E-01  3.141E-03    4290 A       654 A       780 A   
  32.50 keV   6.858E-01  2.955E-03    4544 A       664 A       800 A   
  35.00 keV   7.012E-01  2.791E-03    4793 A       674 A       819 A   
  37.50 keV   7.150E-01  2.647E-03    5037 A       683 A       836 A   
  40.00 keV   7.275E-01  2.518E-03    5277 A       691 A       853 A   
