 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> juillet 21. 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Tantalum.txt

 Ion = Hydrogen [1] . Mass = 1.008 amu

 Target Density =  1.6601E+01 g/cm3 = 5.5248E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.763E-02  9.335E-04     459 A       500 A       385 A   
  11.00 keV   4.972E-02  9.109E-04     504 A       531 A       411 A   
  12.00 keV   5.170E-02  8.893E-04     550 A       561 A       436 A   
  13.00 keV   5.360E-02  8.687E-04     595 A       590 A       460 A   
  14.00 keV   5.541E-02  8.491E-04     640 A       618 A       484 A   
  15.00 keV   5.715E-02  8.305E-04     686 A       645 A       507 A   
  16.00 keV   5.883E-02  8.127E-04     731 A       671 A       530 A   
  17.00 keV   6.044E-02  7.957E-04     776 A       696 A       552 A   
  18.00 keV   6.200E-02  7.796E-04     822 A       720 A       573 A   
  20.00 keV   6.497E-02  7.494E-04     912 A       766 A       615 A   
  22.50 keV   6.844E-02  7.154E-04    1025 A       821 A       665 A   
  25.00 keV   7.166E-02  6.847E-04    1137 A       872 A       713 A   
  27.50 keV   7.468E-02  6.570E-04    1249 A       920 A       758 A   
  30.00 keV   7.751E-02  6.318E-04    1360 A       965 A       802 A   
  32.50 keV   8.017E-02  6.088E-04    1471 A      1008 A       844 A   
  35.00 keV   8.267E-02  5.876E-04    1581 A      1049 A       885 A   
  37.50 keV   8.504E-02  5.682E-04    1690 A      1088 A       924 A   
  40.00 keV   8.727E-02  5.502E-04    1799 A      1126 A       963 A   
  45.00 keV   9.138E-02  5.179E-04    2015 A      1196 A      1036 A   
